,Screen Name,Id,Age in Years,# of Followers,# of Followings,Follower/Following Ratio,URL,Verified,Number of Tweets,# of liked Tweets,# of lists,Botometer,Bot: 3.5 Threshold,Bot: 4.0 Threshold
0,drumkitt87,14254757,13,321,649,0.49,0,0,3009,28401,6,0.7,0,0
1,cryptomichnl,146008010,11,181300,536,338.25,1,0,57312,43979,2367,0.9,0,0
2,fatihsk87,2665227374,7,73248,409,179.09,0,0,11859,7887,1882,0.3,0,0
3,sp889900,1065823520314140000,3,129,444,0.29,0,0,474,1438,0,1.6,0,0
4,rewardiqa,1200106100491720000,2,79551,90,883.9,1,0,45,98,14,1.6,0,0
5,s_saricicekli,1369194459628510000,0,156,1076,0.14,1,0,1063,896,0,3.2,0,0
6,tanya_4d,1265033587335750000,1,3474,2227,1.56,1,0,4917,8992,19,1.6,0,0
7,george09918636,1376458564940650000,0,0,2,0.0,0,0,2,0,0,4.4,1,1
8,merotoken,3232919730,6,9376,127,73.83,1,0,1954,115,2,3.9,1,0
9,ah_laylah,808639466030174000,5,12977,9687,1.34,0,0,45871,47842,2,3.6,1,0
10,yusuf_a_j,1150678526653350000,2,4158,2032,2.05,0,0,15004,7392,0,1.0,0,0
11,mikedarocha2,1118546848971650000,2,8,28,0.29,0,0,1800,916,1,4.1,1,1
12,bitsler,3991114635,6,4592,517,8.88,1,0,3709,2510,73,4.4,1,1
13,mgogitidze02,1363386784047100000,0,3,473,0.01,0,0,765,594,0,4.3,1,1
14,crypto_income,3295614341,6,41,18,2.28,1,0,149,90,0,2.5,0,0
15,cz_binance,902926941413453000,4,1281104,1595,803.2,1,1,3445,14465,7482,0.1,0,0
16,binance,877807935493033000,4,2363484,401,5893.98,1,1,14110,3329,11124,0.6,0,0
17,wsumcoin,1359509154864490000,0,130,6,21.67,0,0,12,0,0,3.4,0,0
18,apia_es,141195800,11,16426,4251,3.86,1,0,12557,4086,722,1.2,0,0
19,ecienciacom,82333507,12,12331,1202,10.26,1,0,24937,18839,830,0.2,0,0
20,thedogeorg,2587185774,7,360,792,0.45,1,0,88,27,1,1.7,0,0
21,yarosla41953602,1365686357738350000,0,6,43,0.14,0,0,64,489,0,1.6,0,0
22,kucoincom,910110294625492000,4,482061,501,962.2,1,0,10813,889,2728,1.4,0,0
23,ankr,1010430329218370000,3,63141,1056,59.79,1,0,1029,1501,367,1.2,0,0
24,pundixlabs,910043982306041000,4,106669,459,232.39,1,1,3946,7454,640,1.2,0,0
25,bandidosmoda,1364820186218380000,0,105,206,0.51,0,0,5,5,0,4.6,1,1
26,thecryptofuture,2802723002,7,10295,10044,1.02,0,0,9488,47719,120,2.2,0,0
27,ganmasks,1371195201847310000,0,183,4,45.75,1,0,16,1,0,3.6,1,0
28,coinkit_,1111599216126820000,2,36525,24,1521.88,1,0,129166,21178,83,3.2,0,0
29,sweepsgg,1115562636739930000,2,247658,1103,224.53,1,0,7885,33625,341,1.4,0,0
30,goldcoinreserve,1325056618946420000,1,14589,74,197.15,1,0,44,29,1,2.0,0,0
31,mofassair,1275810109671660000,1,6337,158,40.11,0,0,87,23,1,2.9,0,0
32,skbsjsjsj,1312087323446770000,1,0,36,0.0,0,0,51,12,0,4.1,1,1
33,pascarbs,943407132971491000,4,777,642,1.21,1,0,6295,8524,13,1.4,0,0
34,alphacryptomega,1320750822829990000,1,1357,50,27.14,0,0,1984,43484,12,2.3,0,0
35,redskycrypto,1349032758136460000,0,31,264,0.12,0,0,911,1644,0,2.0,0,0
36,daaaarnaaa,1374312906297240000,0,19,247,0.08,0,0,16,238,0,4.2,1,1
37,saitoofficial,991556631136645000,3,1160,867,1.34,1,0,496,854,12,1.3,0,0
38,dlancashi,842988756,9,457,679,0.67,1,0,4176,3167,8,0.1,0,0
39,richard_parris,2903898215,7,269,982,0.27,1,0,2913,3139,4,0.6,0,0
40,cryptodaku_,1142882471647640000,2,18313,34,538.62,0,0,211,14,4,1.0,0,0
41,carmenr19008476,1364028903480840000,0,0,0,0.0,0,0,584,0,0,4.4,1,1
42,fbismail53,283493289,10,176,3102,0.06,0,0,1181,3749,1,0.5,0,0
43,nebol22,293743408,10,208,699,0.3,0,0,1247,270,0,1.7,0,0
44,xcashcommunity,1339254740207740000,1,291,6,48.5,1,0,623,351,2,2.1,0,0
45,thecryptovault8,950302982150770000,3,721,3422,0.21,1,0,2535,137,3,3.8,1,0
46,crypto_swarm,1341632223267600000,1,4839,7,691.29,1,0,129,69,2,2.8,0,0
47,nderi_j,147992355,11,14315,2770,5.17,0,0,247688,114945,194,0.7,0,0
48,jsblokland,51689310,12,77392,705,109.78,1,1,25426,11939,2146,0.2,0,0
49,dogegotmerich,1360505707196340000,0,132,957,0.14,0,0,526,349,0,2.2,0,0
50,mmcrypto,904700529988820000,4,218283,3358,65.0,1,0,4880,5233,1178,1.0,0,0
51,nano_pluto,1303434831171170000,1,48,6,8.0,1,0,1565,1902,0,2.9,0,0
52,transactionfees,1312142388471660000,1,629,4,157.25,0,0,219,14,12,4.8,1,1
53,bitcoinafricaio,777087093608685000,5,11747,2021,5.81,1,0,4654,7453,159,0.4,0,0
54,rachaelodhiambo,494680731,9,610,513,1.19,0,0,3436,9488,1,0.4,0,0
55,cryptofully,1295794738017070000,1,1402,10,140.2,1,0,524,177,5,1.9,0,0
56,nigbtccommunity,897919034066423000,4,1829,900,2.03,1,0,5675,6616,7,0.2,0,0
57,blockchainngr,778510504021069000,5,1728,1149,1.5,1,0,930,744,16,1.4,0,0
58,blockchainng,851744157857173000,4,4163,4962,0.84,1,0,1716,2707,31,0.8,0,0
59,rotesin,89645430,12,22,290,0.08,1,0,2295,1282,1,2.1,0,0
60,onyxaker,1851752442,8,783,3783,0.21,1,0,9750,14596,1,2.3,0,0
61,epiknft,3352924487,6,3337,3260,1.02,1,0,3164,4607,35,3.2,0,0
62,lion320ali,1124289701173760000,2,667,968,0.69,1,0,794,564,0,1.6,0,0
63,rastaslon,1063851486,8,11,305,0.04,0,0,290,177,0,3.1,0,0
64,lumityinx,1316708336151130000,1,21,37,0.57,0,0,70,87,0,4.0,1,1
65,money_earn_fi,1340917974778090000,1,43247,12,3603.92,1,0,55,1722,13,3.8,1,0
66,susuqn2019,1300757078005350000,1,38,258,0.15,0,0,239,114,0,3.2,0,0
67,rabbiz_official,1364129410282970000,0,2784,0,0.0,0,0,3,0,0,4.1,1,1
68,minifyx3,1313523912316190000,1,2789,0,0.0,0,0,234481,254,6,3.6,1,0
69,inspireplc,845385190147022000,4,14,18,0.78,0,0,275,1358,0,1.4,0,0
70,launchpad_ee,1373024274534050000,0,5,22,0.23,1,0,9,5,0,3.7,1,0
