Screen Name,Age in Years,# of Followers,# of Followings,Follower/Following Ratio,URL,Verified,Number of Tweets,# of liked Tweets,# of lists,Bot: 4.0 Threshold
ravencoinradio,0,39,43,0.91,1,0,159,220,1,0
arealpersonlmao,1,5,7,0.71,0,0,45,57,0,0
tonevays,7,226796,990,229.09,1,0,20977,30237,4241,0
kripto_avc,0,71,31,2.29,0,0,33,52,0,0
hchimax,1,29,418,0.07,0,0,893,1091,1,0
dontgetworked_,5,4,129,0.03,0,0,261,356,0,0
cryptofreedomsu,0,32,203,0.16,0,0,75,88,0,0
jae5_,10,35943,964,37.29,1,1,33165,15951,37,0
binanceacademy,3,123252,86,1433.16,1,1,1240,550,739,0
toast_andrei,3,260,1367,0.19,0,0,4457,6257,4,0
getaverge,1,456,2078,0.22,0,0,994,713,3,0
pars_matt,0,0,3,0.0,0,0,1,1,0,1
akn85591433,0,3,14,0.21,0,0,78,168,0,1
rbrbist,11,386,736,0.52,0,0,9181,5977,2,0
govindkumarrr_,0,15,325,0.05,0,0,1330,650,0,0
bringit007,11,126,198,0.64,0,0,2219,692,1,0
cryptotvplus,3,6220,835,7.45,1,0,3359,5493,5,0
cedricrohner,0,55,27,2.04,0,0,2341,2149,0,1
zacksnyder,13,1131602,1,1131602.0,1,1,257,1,3356,0
_therealtai,1,69,301,0.23,0,0,2531,6061,1,1
mj__ua,12,421,75,5.61,0,0,63,116,3,0
lunarola86,4,100,772,0.13,0,0,1253,9915,1,0
bscstarter,0,7604,35,217.26,1,0,135,136,35,0
cbefoked,0,215,1148,0.19,0,0,2746,6881,0,1
nyuma_01,1,17157,8504,2.02,0,0,30666,22577,17,0
daveyd95,9,311,211,1.47,0,0,4047,3875,0,0
ohippoz,0,81,255,0.32,1,0,191,237,0,0
gotothemoon99,0,1583,84,18.85,0,0,980,1746,6,0
cryptorommel,2,964,3124,0.31,0,0,10464,7687,2,0
vilile,11,6763,1311,5.16,1,0,9785,35402,353,0
emmanuelbabaso1,0,12,44,0.27,0,0,15,23,0,0
branarakic,11,1454,2224,0.65,1,0,2260,11723,59,0
bananocoin,3,19092,101,189.03,1,0,1264,3708,37,0
shadowof1453,4,111,159,0.7,0,0,10381,2852,6,1
thecryptofuture,7,10295,10044,1.02,0,0,9488,47719,120,0
carmenr19008476,0,0,0,0.0,0,0,584,0,0,1
nhatphongss11,1,1,76,0.01,0,0,86,52,0,0
naomirwolf,10,110996,29998,3.7,1,1,128886,51617,1940,0
recehmania01,1,130,333,0.39,0,0,385,257,0,0
exobotanicals,1,18,71,0.25,0,0,93,89,0,0
mui97132266,1,3,39,0.08,0,0,61,22,0,0
reuters,14,23287947,1146,20321.07,1,1,670707,757,126429,0
iberkeoktay,2,44388,365,121.61,1,0,2613,6102,281,0
bitboy_crypto,3,222452,496,448.49,1,0,19750,29842,1314,0
janzimuhfalzuh,1,59,98,0.6,0,0,142,2,0,0
luckyririxriego,1,300,2884,0.1,1,0,30003,74678,0,0
iamezicks,1,3,48,0.06,0,0,37,64,0,1
debobabs,7,102,1444,0.07,0,0,1799,5764,1,0
ariel09072011,2,0,68,0.0,0,0,66,122,0,1
simondolan,12,94691,237,399.54,1,0,23915,8493,502,0
ignatius_art,0,144,264,0.55,1,0,91,810,1,0
statedeptspox,8,482055,25,19282.2,1,1,8811,62,3172,0
narcolepticneil,3,183,197,0.93,0,0,3973,10790,2,0
notmycuppanft,0,4,161,0.02,0,0,32,24,0,0
fxhedgers,12,109856,50,2197.12,0,0,72533,22398,1807,0
sniperlinh,0,1,18,0.06,0,0,15,15,0,1
ruslan10101982,0,0,6,0.0,0,0,3,1,0,1
dickwhitmanbtc,1,912,1508,0.6,1,0,9681,5083,12,0
ah_nyeong,0,129,55,2.35,1,0,626,843,0,0
